         0: G09  2018- 1- 2  0: 0: 0.0000000  Eliminate info: elevation angle is 8.12 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
         0: G21  2018- 1- 2  0: 0: 0.0000000  Eliminate info: elevation angle is 7.79 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
         0: G32  2018- 1- 2  0: 0: 0.0000000  Eliminate info: elevation angle is 5.45 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
         1: G09  2018- 1- 2  0: 0:30.0000000  Eliminate info: elevation angle is 8.29 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
         1: G21  2018- 1- 2  0: 0:30.0000000  Eliminate info: elevation angle is 7.76 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
         1: G32  2018- 1- 2  0: 0:30.0000000  Eliminate info: elevation angle is 5.26 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
         2: G09  2018- 1- 2  0: 1: 0.0000000  Eliminate info: elevation angle is 8.46 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
         2: G21  2018- 1- 2  0: 1: 0.0000000  Eliminate info: elevation angle is 7.72 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
         3: G32  2018- 1- 2  0: 1:30.0000000  Eliminate info: Lack of observations----..\MG_APP\QPPPModel.cpp, line:669, fuction:Run----                                                           | 
         3: G09  2018- 1- 2  0: 1:30.0000000  Eliminate info: elevation angle is 8.63 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
         3: G21  2018- 1- 2  0: 1:30.0000000  Eliminate info: elevation angle is 7.69 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
         4: G09  2018- 1- 2  0: 2: 0.0000000  Eliminate info: elevation angle is 8.80 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
         4: G21  2018- 1- 2  0: 2: 0.0000000  Eliminate info: elevation angle is 7.65 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
         5: G09  2018- 1- 2  0: 2:30.0000000  Eliminate info: elevation angle is 8.97 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
         5: G32  2018- 1- 2  0: 2:30.0000000  Eliminate info: elevation angle is 4.50 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
         6: G09  2018- 1- 2  0: 3: 0.0000000  Eliminate info: elevation angle is 9.13 less 10.00----..\MG_APP\QPPPModel.cpp, line:1433, fuction:getGoodSatlite----                                 | 
